Here are the final point totals for players chosen in the USENET Hockey Draft.
Note that only 114 players scored more than 55 points the minimum cost
although 254 different players were chosen.
Andrew
Points Team Player
73 STL Nelson Emerson
72 WPG Alexei Zhamnov
72 BOS Dmitri Kvartalnov
72 VAN Trevor Linden
72 WPG Thomas Steen
71 VAN Petr Nedved
70 PIT Joe Mullen
70 CHI Steve Larmer
69 LA Mike Donnelly
68 QUE Andrei Kovalenko
68 NYR Mike Gartner
67 WSH Dmitri Khristich
66 WSH Al Iafrate
66 DET Ray Sheppard
66 SJ Johan Garpenlov
65 TOR Glenn Anderson
65 HFD Zarley Zalapski
65 LA Wayne Gretzky
65 NYR Adam Graves
64 NJ Valeri Zelepukin
63 OTT Norm Maciver
63 PHI Kevin Dineen
62 DET Steve Chiasson
62 DET Paul Ysebaert
62 PHI Garry Galley
61 PIT Shawn McEachern
60 MTL Mike Keane
60 WPG Darrin Shannon
60 NYI Pat Flatley
60 NJ Bernie Nicholls
60 QUE Scott Young
59 LA Rob Blake
59 PHI Brent Fedyk
57 CHI Steve Smith
57 WSH Pat Elynuik
57 NJ Scott Stevens
57 CGY Sergei Makarov
57 WPG Fredrik Olausson
56 VAN Greg Adams
56 TB John Tucker
54 CHI Christian Ruuttu
54 CHI Brent Sutter
54 CGY Al MacInnis
54 NYR Sergei Nemchinov
53 HFD Terry Yake
53 NYR Darren Turcotte
52 NYI Vladimir Malakhov
52 VAN Dixon Ward
52 LA Tomas Sandstrom
51 BOS Stephen Leach
51 HFD Patrick Poulin
51 WPG Keith Tkachuk
50 NYI Jeff Norton
50 MTL Denis Savard
50 TOR John Cullen
50 WSH Sylvain Cote
49 NYR Ed Olczyk
49 STL Kevin Miller
49 BOS Dave Poulin
49 VAN Anatoli Semenov
49 PHI Pelle Eklund
49 WPG Evgeny Davydov
48 MTL Gilbert Dionne
48 NJ John MacLean
48 QUE Martin Rucinsky
48 LA Alexei Zhitnik
48 EDM Petr Klima
48 EDM Doug Weight
47 EDM Shayne Corson
46 EDM Craig Simpson
45 WSH Kelly Miller
45 EDM Dave Manson
44 CHI Michel Goulet
44 MTL Mathieu Schneider
43 DET Bob Probert
43 CGY Paul Ranheim
43 OTT Sylvain Turgeon
42 MIN Mark Tinordi
41 OTT Bob Kudelski
41 DET Niklas Lidstrom
41 OTT Brad Shaw
41 EDM Todd Elik
41 BOS Vladimir Ruzicka
40 MIN Mike McPhee
40 NYR Esa Tikkanen
40 TOR Dave Ellett
40 NJ Peter Stastny
39 LA Corey Millen
39 NJ Bobby Holik
39 BUF Yuri Khmylev
39 TB Adam Creighton
39 TOR Wendel Clark
38 VAN Sergio Momesso
38 NYR Alexei Kovalev
37 TOR Rob Pearson
37 QUE Valery Kamensky
37 CHI Dirk Graham
36 NYR Brian Leetch
36 EDM Zdeno Ciger
35 TOR Peter Zezel
35 BOS Ted Donato
33 MIN Neal Broten
33 HFD Mikael Nylander
33 PHI Josef Beranek
33 CHI Stephane Matteau
32 EDM Scott Mellanby
32 DET Keith Primeau
32 BUF Wayne Presley
32 NYI Brian Mullen
32 PHI Dmitri Yushkevich
32 MTL Gary Leeman
31 BUF Richard Smehlik
31 BOS Steve Heinze
31 TOR Dmitri Mironov
30 CHI Brian Noonan
28 WSH Bob Carpenter
28 SJ Pat Falloon
27 STL Igor Korolev
27 TB Mikael Andersson
27 NYI Ray Ferraro
26 BUF Petr Svoboda
26 OTT Mark Lamb
26 NYR James Patrick
25 MTL Benoit Brunet
24 NYI Scott LaChance
24 TOR Bill Berg
23 EDM Martin Gelinas
23 WPG Sergei Bautin
23 EDM Kevin Todd
21 NYI David Volek
21 NYI Darius Kasparaitis
21 TB Roman Hamrlik
21 MIN Brent Gilchrist
20 NYR Phil Bourque
20 DET Jim Hiller
20 PHI Andrei Lomakin
20 HFD Yvon Corriveau
19 BUF Donald Audette
18 BOS Cam Neely
17 CHI Joe Murphy
17 SJ Mark Pederson
16 PIT Martin Straka
15 NYR Peter Andersson
13 NJ Janne Ojanen
13 OTT Tomas Jelinek
12 MIN Bobby Smith
11 TB Steve Kasper
10 SJ Ray Whitney
9 HFD Robert Petrovicky
9 BUF Viktor Gordijuk
8 TOR Joe Sacco
8 QUE Mikhail Tatarinov
8 SJ Peter Ahola
7 CHI Rob Brown
7 BOS Glen Murray
6 MIN Brian Propp
6 HFD Tim Kerr
5 WSH Reggie Savage
5 LA Robert Lang
5 STL Vitali Prokhorov
5 DET Viacheslav Kozlov
5 EDM Shaun Van Allen
4 BOS Jozef Stumpel
4 MIN Dan Quinn
4 PIT Bryan Fogarty
3 MTL Olav Petrov
3 TB Stan Drulia
2 NJ Claude Vilgrain
2 WSH Jason Woolley
0 QUE Peter Forsberg
0 WSH Brian Sakic
0 WSH Randy Burridge
0 MTL Patrick Kjellberg
0 OTT Alexei Yashin
0 EDM Dean McAmmond
0 CGY Cory Stillman
0 TB Brent Gretzky
0 BUF Jason Dawe
0 VAN Igor Larionov
0 CHI Sergei Krivokrasov
Andrew Scott
HP IDACOM Telecom Operation 403 462 0666 ext. 253
During the Roman Era, 28 was considered old.
