Here is the price list for the week April 13 to April 19.
Andrew
Buy Sell Pts Team Player
55.0 21.2 23 TOR Bill Berg
55.0 21.2 23 EDM Kevin Todd
55.0 19.6 21 NYI David Volek
55.0 19.6 21 NYI Ray Ferraro
55.0 19.4 21 MIN Brent Gilchrist
55.0 18.6 20 HFD Yvon Corriveau
55.0 18.6 20 NYR Phil Bourque
55.0 18.6 20 NYI Darius Kasparaitis
55.0 18.2 20 DET Jim Hiller
55.0 17.7 19 PHI Andrei Lomakin
55.0 17.6 19 BUF Donald Audette
55.0 16.6 18 TB Roman Hamrlik
55.0 15.5 17 BOS Cam Neely
55.0 15.5 17 SJ Mark Pederson
55.0 14.6 16 PIT Martin Straka
55.0 13.9 15 CHI Joe Murphy
55.0 12.2 13 NYR Peter Andersson
55.0 12.0 13 OTT Tomas Jelinek
55.0 12.0 13 NJ Janne Ojanen
55.0 10.2 11 TB Steve Kasper
55.0 10.2 11 MIN Bobby Smith
55.0 9.1 10 SJ Ray Whitney
55.0 8.4 9 HFD Robert Petrovicky
55.0 8.3 9 BUF Viktor Gordijuk
55.0 7.4 8 TOR Joe Sacco
55.0 7.3 8 QUE Mikhail Tatarinov
55.0 7.3 8 SJ Peter Ahola
55.0 6.5 7 CHI Rob Brown
55.0 6.4 7 BOS Glen Murray
55.0 5.6 6 HFD Tim Kerr
55.0 5.5 6 MIN Brian Propp
55.0 4.7 5 WSH Reggie Savage
55.0 4.6 5 STL Vitali Prokhorov
55.0 4.6 5 LA Robert Lang
55.0 4.6 5 EDM Shaun Van Allen
55.0 3.7 4 MIN Dan Quinn
55.0 3.6 4 DET Viacheslav Kozlov
55.0 3.6 4 BOS Jozef Stumpel
55.0 3.6 4 PIT Bryan Fogarty
55.0 2.8 3 MTL Olav Petrov
55.0 2.8 3 TB Stan Drulia
55.0 1.9 2 WSH Jason Woolley
55.0 1.8 2 NJ Claude Vilgrain
55.0 0.0 0 MTL Patrick Kjellberg
55.0 0.0 0 OTT Alexei Yashin
55.0 0.0 0 WSH Randy Burridge
55.0 0.0 0 EDM Dean McAmmond
55.0 0.0 0 CGY Cory Stillman
55.0 0.0 0 TB Brent Gretzky
55.0 0.0 0 BUF Jason Dawe
55.0 0.0 0 WSH Brian Sakic
55.0 0.0 0 VAN Igor Larionov
55.0 0.0 0 CHI Sergei Krivokrasov
55.0 0.0 0 QUE Peter Forsberg
Andrew Scott
HP IDACOM Telecom Operation 403 462 0666 ext. 253
During the Roman Era, 28 was considered old.
